revendeur,categorie,titre,image,url,desc,prix,date
tunisianet,Ordinateurs & Tablettes,Pc portable HP 15-ac101nk / Dual Core / 4 Go / Blanc + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/44378-home/pc-portable-hp-15-ac101nk-dual-core-4-go-blanc-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15356-pc-portable-hp-15-ac101nk-dual-core-4-go-blanc-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Pentium Dual Core N3825U﻿, 1.9 Ghz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go, 5400 tr/min﻿ - Carte graphique Intel HD﻿ - Graveur DVD - HDMI - USB 3.0 - Lecteur de cartes - Wifi - Bluetooth - Couleur Blanc - Garantie 1 an﻿",525.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc portable HP 15-ac100nk / Dual Core / 8 Go + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/45484-home/pc-portable-hp-15-ac100nk-dual-core-8-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/16021-pc-portable-hp-15-ac100nk-dual-core-8-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N3050, up to 2.16 Ghz, 2 Mo de mémoire cache - Mémoire 8 Go - Disque 500 Go, 5400 tr/min﻿﻿ - Carte graphique Intel HD Graphics - Graveur DVD - HDMI - USB 3.0 - Lecteur de cartes - Wifi - Bluetooth - Webcam avec Micro - Couleur Bleu - Garantie 1 an ",528.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc portable Asus X553MA / Quad Core / 4 Go / Rose + Clé 3G Offerte,http://www.tunisianet.com.tn/52932-home/pc-portable-asus-x553ma-quad-core-4-go-rose-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/18520-pc-portable-asus-x553ma-quad-core-4-go-rose-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Pentium Quad Core N3540 ﻿, up to 2.66 Ghz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - Wifi - Bluetooth - USB 3.0 - HDMI - Webcam avec Micro - Couleur Rose - Garantie 2...",539.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc portable Asus X553MA / Quad Core / 4 Go / Violet + Clé 3G Offerte,http://www.tunisianet.com.tn/52928-home/pc-portable-asus-x553ma-quad-core-4-go-violet-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15789-pc-portable-asus-x553ma-quad-core-4-go-violet-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Pentium Quad Core N3540 ﻿, up to 2.66 Ghz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - Wifi - Bluetooth - USB 3.0 - HDMI - Webcam avec Micro - Couleur Rose - Garantie 2...",539.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Lenovo G5030 / Quad Core / 8 Go + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/29387-home/pc-portable-lenovo-g5030-quad-core-8-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/10178-pc-portable-lenovo-g5030-quad-core-8-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Pentium Quad Core N3540, up to 2.66 GHz, 2 Mo de mémoire cache - Mémoire 8 Go - Disque 500 Go - Carte graphique Intel HD Graphics﻿ - Wifi - Bluetooth - Webcam HD avec Micro - HDMI - USB 3.0 - Couleur Noir - Garantie 1 an ",555.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc portable HP 15-ac101nk / Dual Core / 8 Go / Blanc + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/44380-home/pc-portable-hp-15-ac101nk-dual-core-8-go-blanc-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15357-pc-portable-hp-15-ac101nk-dual-core-8-go-blanc-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Pentium Dual Core N3825U﻿, 1.9 Ghz, 2 Mo de mémoire cache - Mémoire 8 Go - Disque 500 Go, 5400 tr/min﻿ - Carte graphique Intel HD﻿ - Graveur DVD - HDMI - USB 3.0 - Lecteur de cartes - Wifi - Bluetooth - Couleur Blanc - Garantie 1 an﻿",574.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Acer Aspire E5-532 / Quad Core / 4 Go + Clé 3G Offerte,http://www.tunisianet.com.tn/48565-home/pc-portable-acer-aspire-e5-532-quad-core-4-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/17086-pc-portable-acer-aspire-e5-532-quad-core-4-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Quad Core N3700﻿, up to 2.4 GHz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - USB 3.0 - HDMI - Wifi - Ethernet﻿ - Webcam avec micro - Garantie 1...",605.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc portable HP Pavilion x2 - 10-n201nk / Rouge + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/42492-home/pc-portable-hp-pavilion-x2-10-n201nk-rouge-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15055-pc-portable-hp-pavilion-x2-10-n201nk-rouge-cle-3g-offerte.html,"Ecran 10.1""﻿ tactile IPS WXGA﻿ - Processeur Intel Atom Quad Core Z3736F ﻿, up to 2.16 Ghz, 2 Mo de mémoire cache - 2 Go de mémoire - Stockage 32 Go eMMC﻿ - Carte graphique Intel HD Graphics - Wifi - Bluetooth - HDMI -...",609.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Acer Aspire E5-532 / Quad Core / 6 Go + Clé 3G Offerte,http://www.tunisianet.com.tn/48571-home/pc-portable-acer-aspire-e5-532-quad-core-6-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/17100-pc-portable-acer-aspire-e5-532-quad-core-6-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Quad Core N3700﻿, up to 2.4 GHz, 2 Mo de mémoire cache - Mémoire 6 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - USB 3.0 - HDMI - Wifi - Ethernet﻿ - Webcam avec micro - Garantie 1...",632.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Acer Aspire E5-532 / Quad Core / 8 Go + Clé 3G Offerte,http://www.tunisianet.com.tn/48577-home/pc-portable-acer-aspire-e5-532-quad-core-8-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/17101-pc-portable-acer-aspire-e5-532-quad-core-8-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Quad Core N3700﻿, up to 2.4 GHz, 2 Mo de mémoire cache - Mémoire 8 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - USB 3.0 - HDMI - Wifi - Ethernet﻿ - Webcam avec micro - Garantie 1 an -...",649.000,2016/05/31
